,real_price
36399,25.02
36400,24.08
36401,31.5
36402,26.97
36403,49.99
36404,25.32
36405,18.53
36406,15.0
36407,16.39
36408,18.04
36409,18.05
36410,17.74
36411,19.27
36412,17.74
36413,24.27
36414,24.71
36415,25.0
36416,16.04
36417,9.45
36418,14.37
36419,24.11
36420,24.3
36421,14.37
36422,14.34
36423,0.97
36424,4.51
36425,19.53
36426,21.61
36427,23.57
36428,18.34
36429,13.07
36430,7.51
36431,9.47
36432,14.37
36433,13.5
36434,0.47
36435,5.85
36436,5.97
36437,10.96
36438,5.87
36439,6.66
36440,13.01
36441,59.54
36442,199.29
36443,97.82
36444,19.72
36445,12.62
36446,14.34
36447,5.85
36448,17.33
36449,24.83
36450,25.65
36451,25.0
36452,25.57
36453,24.5
36454,13.67
36455,16.66
36456,32.2
36457,35.84
36458,33.73
36459,15.58
36460,6.76
36461,1.44
36462,0.0
36463,0.0
36464,0.0
36465,0.0
36466,14.34
36467,13.69
36468,14.36
36469,14.36
36470,14.35
36471,14.37
36472,16.55
36473,21.09
36474,10.86
36475,6.89
36476,1.97
36477,4.83
36478,1.97
36479,0.0
36480,0.0
36481,0.0
36482,0.0
36483,0.0
36484,0.0
36485,0.0
36486,0.5
36487,10.49
36488,13.35
36489,21.89
36490,13.36
36491,13.37
36492,13.35
36493,13.34
36494,2.59
36495,2.68
36496,13.64
36497,22.15
36498,25.68
36499,23.35
36500,20.58
36501,19.83
36502,16.99
36503,11.6
36504,13.05
36505,14.34
36506,17.57
36507,20.5
36508,28.69
36509,29.83
36510,56.84
36511,40.83
36512,58.07
36513,45.93
36514,33.83
36515,26.03
36516,23.18
36517,15.09
36518,14.79
36519,14.96
36520,16.13
36521,24.71
36522,25.31
36523,25.61
36524,27.39
36525,24.63
36526,14.38
36527,0.0
36528,0.0
36529,0.0
36530,10.86
36531,8.99
36532,10.28
36533,10.37
36534,25.05
36535,25.54
36536,27.72
36537,27.54
36538,25.62
36539,28.55
36540,28.28
36541,27.6
36542,25.21
36543,21.34
36544,19.52
36545,25.25
36546,25.95
36547,27.31
36548,25.27
36549,25.25
36550,19.89
36551,13.07
36552,14.36
36553,13.06
36554,5.18
36555,0.0
36556,0.0
36557,7.81
36558,11.31
36559,10.15
36560,1.85
36561,0.0
36562,0.0
36563,0.0
36564,1.4
36565,0.98
36566,0.0
36567,0.0
36568,7.28
36569,22.38
36570,26.25
36571,24.9
36572,25.99
36573,26.16
36574,28.3
36575,24.07
36576,16.01
36577,18.29
36578,17.13
36579,14.33
36580,9.59
36581,14.35
36582,23.54
36583,25.0
36584,23.68
36585,16.74
36586,7.21
36587,19.31
36588,14.5
36589,4.76
36590,0.49
36591,5.83
36592,7.74
36593,19.89
36594,24.78
36595,24.74
36596,21.98
36597,18.78
36598,13.32
36599,10.84
36600,20.67
36601,34.53
36602,33.75
36603,31.88
36604,25.48
36605,19.17
36606,24.53
36607,11.47
36608,11.6
36609,5.94
36610,14.38
36611,25.16
36612,27.65
36613,23.59
36614,24.42
36615,13.45
36616,17.8
36617,24.34
36618,28.53
36619,28.13
36620,25.81
36621,25.87
36622,24.91
36623,24.48
36624,20.32
36625,9.48
36626,21.82
36627,28.45
36628,47.69
36629,31.07
36630,26.48
36631,21.05
36632,24.17
36633,13.28
36634,22.63
36635,24.25
36636,23.04
36637,13.27
36638,11.11
36639,5.9
36640,17.89
36641,21.9
36642,27.25
36643,28.48
36644,27.4
36645,25.14
36646,24.3
36647,21.07
36648,16.7
36649,14.45
36650,13.25
36651,13.27
36652,13.26
36653,12.72
36654,24.24
36655,24.49
36656,24.94
36657,24.71
36658,13.28
36659,16.71
36660,17.5
36661,19.46
36662,13.27
36663,14.97
36664,16.41
36665,24.16
36666,24.26
36667,21.4
36668,11.65
36669,10.61
36670,9.81
36671,11.4
36672,20.43
36673,14.51
36674,24.65
36675,23.38
36676,10.93
36677,12.77
36678,24.47
36679,25.42
36680,24.89
36681,23.99
36682,23.19
36683,23.59
36684,18.0
36685,13.35
36686,8.37
36687,13.34
36688,15.17
36689,22.31
36690,21.06
36691,12.65
36692,6.88
36693,5.23
36694,5.82
36695,3.0
36696,9.86
36697,5.73
36698,3.8
36699,5.83
36700,2.56
36701,1.81
36702,4.91
36703,8.87
36704,2.87
36705,3.81
36706,5.88
36707,3.17
36708,1.84
36709,7.28
36710,7.5
36711,8.22
36712,5.8
36713,8.89
36714,5.07
36715,0.41
36716,8.27
36717,7.19
36718,7.7
36719,4.64
36720,0.0
36721,0.0
36722,0.0
36723,0.0
36724,0.0
36725,0.0
36726,2.94
36727,12.1
36728,13.34
36729,5.8
36730,5.96
36731,5.32
36732,6.18
36733,4.9
36734,4.63
36735,6.84
36736,14.35
36737,4.02
36738,5.9
36739,7.51
36740,5.58
36741,5.81
36742,12.3
36743,12.39
36744,5.99
36745,6.27
36746,13.14
36747,14.37
36748,11.23
36749,8.95
36750,11.63
36751,14.36
36752,8.89
36753,1.4
36754,3.68
36755,6.51
36756,1.97
36757,0.86
36758,3.4
36759,0.0
36760,0.0
36761,7.92
36762,26.03
36763,49.79
36764,17.51
36765,20.79
36766,20.22
36767,28.15
36768,37.23
36769,34.68
36770,23.18
36771,28.23
36772,34.97
36773,79.46
36774,31.92
36775,7.6
36776,5.78
36777,8.4
36778,11.63
36779,9.66
36780,9.76
36781,4.6
36782,0.0
36783,0.0
36784,4.67
36785,13.18
36786,12.74
36787,12.74
36788,10.83
36789,0.0
36790,0.47
36791,3.34
36792,4.81
36793,1.83
36794,8.23
36795,8.23
36796,1.75
36797,0.0
36798,0.0
36799,0.0
36800,0.0
36801,0.0
36802,0.0
36803,0.0
36804,0.0
36805,0.0
36806,0.0
36807,0.0
36808,1.88
36809,5.76
36810,12.57
36811,20.1
36812,14.37
36813,18.31
36814,9.69
36815,13.28
36816,6.87
36817,6.0
36818,9.63
36819,12.78
36820,15.46
36821,27.79
36822,28.32
36823,28.43
36824,26.68
36825,25.25
36826,23.4
36827,23.36
36828,20.07
36829,17.81
36830,17.85
36831,21.27
36832,25.99
36833,27.01
36834,27.3
36835,24.41
36836,22.83
36837,22.2
36838,16.35
36839,14.98
36840,13.16
36841,14.37
36842,12.56
36843,14.37
36844,16.6
36845,26.64
36846,33.08
36847,112.59
36848,28.82
36849,27.58
36850,27.05
36851,26.36
36852,26.36
36853,25.69
36854,25.09
36855,24.76
36856,26.31
36857,24.15
36858,24.08
36859,22.82
36860,23.38
36861,25.23
36862,21.7
36863,15.33
36864,23.19
36865,25.4
36866,22.51
36867,13.27
36868,17.52
36869,24.55
36870,26.66
36871,26.07
36872,26.67
36873,24.66
36874,24.79
36875,22.26
36876,22.26
36877,21.95
36878,22.18
36879,21.98
36880,22.2
36881,22.25
36882,23.55
36883,21.9
36884,20.49
36885,20.52
36886,11.47
36887,18.68
36888,13.26
36889,10.19
36890,0.0
36891,0.0
36892,0.88
36893,4.7
36894,19.41
36895,21.69
36896,13.94
36897,20.48
36898,13.7
